tx,ty,tz,sx,sy,sz,s_roll,s_pitch,s_yaw
-0.04294290021061897,-0.06152670085430145,1.22849440574646,-0.1529447581312278,-0.593921217559751,1.1979132046157104,1.5705834316883482,0.001718840977384164,-0.0026469572666758226
-0.04269857704639435,-0.06378726661205292,1.22756028175354,-0.1454246589232477,-0.5898691440088434,1.1889800071765626,1.562215618411258,0.03278047913171639,-0.013450878248281393
-0.042953334748744965,-0.06174798682332039,1.2283700704574585,-0.13710067776181806,-0.5876228290174811,1.1829092267520995,1.5561953519331797,0.051190746214611955,-0.012102228333279052
-0.04269998148083687,-0.06398225575685501,1.2274543046951294,-0.13465923444368322,-0.5838236003721716,1.182385676715448,1.578958032584668,0.07270908578213657,0.010077404135697469
-0.04296061769127846,-0.06191957741975784,1.2282739877700806,-0.12600453778955772,-0.5826563874470915,1.1843391092794864,1.595591895485984,0.09897726804892483,0.018675882363296262
-0.04270044341683388,-0.06413344293832779,1.2273725271224976,-0.11158822442717167,-0.5788586742921129,1.1817293505242272,1.5737501412419201,0.08331784810684065,0.0007278461787868747
-0.04296573996543884,-0.0620526447892189,1.2281997203826904,-0.10139889551501095,-0.5722878702881142,1.181184952391564,1.5447076570656495,0.10186836467168933,-0.01085069945099377
-0.042700398713350296,-0.06425069272518158,1.2273093461990356,-0.08869561582997008,-0.5691886082948403,1.1820079221896025,1.538253147976261,0.08547539356777946,-0.019346077626228062
-0.04296939820051193,-0.0621558353304863,1.2281423807144165,-0.08049691910438068,-0.5627820606433472,1.1779148440679703,1.5120194317201712,0.0819699231298098,-0.02384123384359336
-0.04270010069012642,-0.06434161961078644,1.2272603511810303,-0.07412674827303357,-0.5504669196198377,1.1683526520493297,1.4468344072436814,0.03471897732837019,-0.041739976206694826
-0.04297200217843056,-0.06223587691783905,1.2280980348587036,-0.07569471386127329,-0.5373633658162821,1.164637855535501,1.4010296043357973,0.025807421696666406,-0.0390146552998632
-0.04269970953464508,-0.06441214680671692,1.2272225618362427,-0.0775953267944086,-0.5273140677966801,1.169840373744514,1.4010187203703317,-0.0010414898566353068,-0.016447632118204592
-0.04297390207648277,-0.06229795515537262,1.2280638217926025,-0.0709817097787597,-0.5213071344228127,1.173305134060155,1.3841921195560063,0.0014410171225538479,-0.01801604551275337
-0.04269929975271225,-0.06446682661771774,1.2271932363510132,-0.06946954506215947,-0.5112255969783042,1.1756869653786755,1.3626077407162405,-0.03208459541603591,-0.013390192596483977
-0.04297526925802231,-0.06234610080718994,1.2280372381210327,-0.06626982700412193,-0.5020941787170176,1.1735797960988992,1.3319237268704125,-0.09361078616161259,-0.004964921986529015
-0.04269890487194061,-0.06450925022363663,1.2271705865859985,-0.06729442792888941,-0.4938828752856045,1.1796670365628532,1.332539713271095,-0.06910024902930545,0.0036373878997075677
